Path,ClassId
00028\00663_00001.ppm,28
00006\00147_00001.ppm,6
00019\02174_00002.ppm,19
00045\01679_00000.ppm,45
00007\00992_00001.ppm,7
00057\00463_00000.ppm,57
00039\00606_00001.ppm,39
00056\00183_00000.ppm,56
00022\01644_00002.ppm,22
00022\01084_00001.ppm,22
00001\00806_00000.ppm,1
00007\01189_00001.ppm,7
00053\01577_00001.ppm,53
00053\01789_00002.ppm,53
00037\01317_00001.ppm,37
00040\01361_00002.ppm,40
00032\02556_00002.ppm,32
00054\00447_00000.ppm,54
00022\00888_00001.ppm,22
00022\01092_00000.ppm,22
00032\00018_00000.ppm,32
00022\01251_00002.ppm,22
00049\00311_00002.ppm,49
00061\01109_00002.ppm,61
00035\02509_00000.ppm,35
00019\02121_00002.ppm,19
00031\02112_00000.ppm,31
00039\01917_00000.ppm,39
00014\00859_00002.ppm,14
00032\02413_00001.ppm,32
00051\00902_00002.ppm,51
00031\02180_00002.ppm,31
00054\00121_00002.ppm,54
00032\02105_00000.ppm,32
00007\01888_00000.ppm,7
00022\02411_00001.ppm,22
00035\02236_00001.ppm,35
00046\00814_00002.ppm,46
00014\00391_00000.ppm,14
00031\00136_00001.ppm,31
00038\02441_00002.ppm,38
00055\02145_00001.ppm,55
00032\00111_00000.ppm,32
00053\01789_00000.ppm,53
00032\00758_00002.ppm,32
00054\00607_00002.ppm,54
00054\00154_00000.ppm,54
00038\00027_00001.ppm,38
00013\01466_00001.ppm,13
00022\01424_00001.ppm,22
00018\00567_00001.ppm,18
00054\00474_00001.ppm,54
00032\01002_00002.ppm,32
00017\02295_00002.ppm,17
00007\01531_00000.ppm,7
00061\01003_00000.ppm,61
00028\01670_00002.ppm,28
00041\01491_00001.ppm,41
00056\00296_00001.ppm,56
00054\01760_00000.ppm,54
00019\02279_00001.ppm,19
00007\01195_00000.ppm,7
00022\01213_00000.ppm,22
00038\00048_00000.ppm,38
00000\00017_00000.ppm,0
00037\01311_00000.ppm,37
00021\02281_00001.ppm,21
00037\01313_00000.ppm,37
00022\01683_00000.ppm,22
00029\02233_00000.ppm,29
00019\02339_00000.ppm,19
00045\01679_00001.ppm,45
00032\02324_00001.ppm,32
00032\02029_00000.ppm,32
00019\00811_00001.ppm,19
00019\00860_00002.ppm,19
00038\00751_00002.ppm,38
00040\00711_00000.ppm,40
00038\00423_00001.ppm,38
00041\01148_00002.ppm,41
00019\00095_00000.ppm,19
00041\00002_00001.ppm,41
00019\00841_00000.ppm,19
00038\02154_00001.ppm,38
00032\02635_00000.ppm,32
00032\01820_00002.ppm,32
00008\00420_00000.ppm,8
00044\01756_00001.ppm,44
00018\02658_00000.ppm,18
00022\01268_00002.ppm,22
00020\00231_00001.ppm,20
00060\00209_00000.ppm,60
00043\00110_00002.ppm,43
00053\01658_00001.ppm,53
00032\02472_00002.ppm,32
00008\01530_00002.ppm,8
00032\00553_00000.ppm,32
00038\01953_00001.ppm,38
00061\01238_00000.ppm,61
00018\00139_00000.ppm,18
00019\00133_00002.ppm,19
00013\00184_00000.ppm,13
00022\01146_00000.ppm,22
00019\00982_00000.ppm,19
00019\00967_00002.ppm,19
00022\00098_00001.ppm,22
00020\00230_00001.ppm,20
00003\02664_00000.ppm,3
00028\01031_00000.ppm,28
00029\02285_00002.ppm,29
00013\01447_00000.ppm,13
00022\00878_00000.ppm,22
00037\00810_00001.ppm,37
00032\02572_00001.ppm,32
00032\02424_00001.ppm,32
00047\00083_00002.ppm,47
00017\02410_00001.ppm,17
00032\01656_00000.ppm,32
00061\00192_00000.ppm,61
00019\00407_00000.ppm,19
00032\02595_00001.ppm,32
00035\00378_00002.ppm,35
00047\00073_00002.ppm,47
00001\01983_00002.ppm,1
00017\02410_00000.ppm,17
00056\00771_00000.ppm,56
00019\00599_00000.ppm,19
00022\01255_00001.ppm,22
00047\00080_00002.ppm,47
00038\00393_00000.ppm,38
00054\00447_00001.ppm,54
00029\00909_00001.ppm,29
00032\02172_00001.ppm,32
00037\00575_00000.ppm,37
00059\01481_00001.ppm,59
00027\01544_00000.ppm,27
00040\00797_00000.ppm,40
00037\00809_00002.ppm,37
00022\01671_00000.ppm,22
00061\00606_00000.ppm,61
00032\02428_00002.ppm,32
00019\00967_00000.ppm,19
00022\01118_00000.ppm,22
00018\02192_00001.ppm,18
00021\02431_00001.ppm,21
00040\00479_00002.ppm,40
00029\01693_00002.ppm,29
00040\00078_00002.ppm,40
00017\02538_00000.ppm,17
00053\01154_00001.ppm,53
00019\02419_00002.ppm,19
00019\01205_00002.ppm,19
00051\01761_00000.ppm,51
00022\01054_00001.ppm,22
00061\00222_00002.ppm,61
00061\01873_00001.ppm,61
00026\00173_00000.ppm,26
00039\00010_00002.ppm,39
00054\01415_00002.ppm,54
00014\01780_00002.ppm,14
00054\00134_00000.ppm,54
00061\01998_00000.ppm,61
00031\02455_00002.ppm,31
00032\00407_00002.ppm,32
00031\02538_00001.ppm,31
00044\00331_00000.ppm,44
00022\02466_00002.ppm,22
00044\01926_00000.ppm,44
00015\00331_00002.ppm,15
00046\00106_00002.ppm,46
00039\01871_00002.ppm,39
00019\00125_00000.ppm,19
00044\00234_00002.ppm,44
00018\00112_00000.ppm,18
00007\01426_00002.ppm,7
00001\00414_00000.ppm,1
00061\00937_00000.ppm,61
00040\00116_00001.ppm,40
00022\02411_00002.ppm,22
00035\02290_00002.ppm,35
00007\02392_00000.ppm,7
00014\00406_00001.ppm,14
00032\01529_00001.ppm,32
00027\00267_00002.ppm,27
00035\02614_00001.ppm,35
00039\01098_00001.ppm,39
00035\02239_00002.ppm,35
00057\00790_00000.ppm,57
00037\00168_00000.ppm,37
00017\02312_00000.ppm,17
00032\01815_00002.ppm,32
00056\00183_00002.ppm,56
00046\00803_00001.ppm,46
00025\01176_00000.ppm,25
00058\00775_00002.ppm,58
00041\02256_00002.ppm,41
00007\01653_00000.ppm,7
00047\00495_00001.ppm,47
00039\00515_00001.ppm,39
00039\00958_00000.ppm,39
00056\02131_00000.ppm,56
00032\02570_00001.ppm,32
00032\00927_00000.ppm,32
00032\02180_00002.ppm,32
00022\00053_00001.ppm,22
00038\02023_00001.ppm,38
00057\01233_00002.ppm,57
00014\01558_00000.ppm,14
00034\00153_00000.ppm,34
00032\02018_00002.ppm,32
00019\00854_00002.ppm,19
00041\00889_00001.ppm,41
00059\01583_00000.ppm,59
00038\02483_00002.ppm,38
00032\02594_00002.ppm,32
00032\01108_00002.ppm,32
00034\01260_00002.ppm,34
00028\01897_00002.ppm,28
00032\00028_00002.ppm,32
00002\02520_00000.ppm,2
00040\00817_00002.ppm,40
00056\01402_00002.ppm,56
00053\00879_00000.ppm,53
00007\01152_00001.ppm,7
00028\02523_00002.ppm,28
00038\02022_00001.ppm,38
00022\01302_00001.ppm,22
00018\00454_00002.ppm,18
00028\00610_00001.ppm,28
00032\02282_00001.ppm,32
00018\02383_00001.ppm,18
00024\00408_00001.ppm,24
00061\00049_00002.ppm,61
00061\01109_00000.ppm,61
00054\02345_00001.ppm,54
00038\00059_00000.ppm,38
00044\00228_00001.ppm,44
00061\00606_00002.ppm,61
00038\02297_00002.ppm,38
00022\01054_00000.ppm,22
00045\00561_00001.ppm,45
00034\01418_00002.ppm,34
00032\02324_00000.ppm,32
00061\00045_00001.ppm,61
00061\02026_00001.ppm,61
00037\01352_00002.ppm,37
00039\01870_00000.ppm,39
00032\01849_00000.ppm,32
00019\00023_00000.ppm,19
00049\00720_00001.ppm,49
00054\01944_00002.ppm,54
00019\01829_00000.ppm,19
00018\02171_00002.ppm,18
00053\00093_00001.ppm,53
00028\01726_00000.ppm,28
00012\01565_00001.ppm,12
00032\00547_00002.ppm,32
00003\00211_00000.ppm,3
00047\00043_00002.ppm,47
00056\02414_00001.ppm,56
00041\00721_00001.ppm,41
00039\01886_00001.ppm,39
00035\02251_00000.ppm,35
00040\00870_00000.ppm,40
00045\01573_00001.ppm,45
00038\01230_00002.ppm,38
00006\00326_00000.ppm,6
00028\01904_00002.ppm,28
00053\00367_00001.ppm,53
00007\01138_00002.ppm,7
00038\02441_00000.ppm,38
00040\00990_00000.ppm,40
00053\00274_00000.ppm,53
00031\01911_00001.ppm,31
00013\00869_00001.ppm,13
00047\00185_00000.ppm,47
00057\02630_00000.ppm,57
00007\01339_00001.ppm,7
00028\00155_00002.ppm,28
00024\01927_00002.ppm,24
00007\00259_00002.ppm,7
00029\01657_00001.ppm,29
00018\01947_00000.ppm,18
00038\02162_00001.ppm,38
00039\00572_00000.ppm,39
00022\00883_00000.ppm,22
00040\00870_00001.ppm,40
00013\00248_00002.ppm,13
00040\01445_00000.ppm,40
00017\02328_00002.ppm,17
00021\02380_00000.ppm,21
00035\02093_00001.ppm,35
00018\02221_00000.ppm,18
00017\00298_00001.ppm,17
00032\01849_00002.ppm,32
00031\02115_00001.ppm,31
00040\00423_00002.ppm,40
00028\00779_00002.ppm,28
00061\01753_00000.ppm,61
00022\01173_00002.ppm,22
00035\00151_00000.ppm,35
00061\01994_00001.ppm,61
00038\02340_00002.ppm,38
00007\00719_00002.ppm,7
00019\00970_00001.ppm,19
00022\02626_00002.ppm,22
00041\01079_00001.ppm,41
00021\01811_00002.ppm,21
00039\00622_00002.ppm,39
00057\00595_00002.ppm,57
00056\02414_00002.ppm,56
00037\02624_00001.ppm,37
00041\00991_00000.ppm,41
00032\02480_00002.ppm,32
00045\01187_00002.ppm,45
00021\02473_00000.ppm,21
00061\01588_00000.ppm,61
00045\00135_00002.ppm,45
00034\01218_00001.ppm,34
00035\02098_00001.ppm,35
00007\00603_00000.ppm,7
00031\00272_00000.ppm,31
00032\02152_00000.ppm,32
00047\00384_00000.ppm,47
00057\01841_00001.ppm,57
00037\00168_00002.ppm,37
00038\01919_00000.ppm,38
00022\00665_00001.ppm,22
00055\02058_00002.ppm,55
00056\00180_00000.ppm,56
00028\00292_00000.ppm,28
00017\02571_00001.ppm,17
00020\01900_00000.ppm,20
00019\02386_00001.ppm,19
00032\02336_00000.ppm,32
00061\02063_00000.ppm,61
00045\01193_00001.ppm,45
00002\00025_00001.ppm,2
00007\01598_00000.ppm,7
00039\01838_00000.ppm,39
00019\00459_00002.ppm,19
00001\00920_00000.ppm,1
00001\00136_00001.ppm,1
00018\00008_00000.ppm,18
00061\00957_00000.ppm,61
00037\00099_00001.ppm,37
00040\01445_00001.ppm,40
00023\00250_00000.ppm,23
00041\00089_00002.ppm,41
00039\00589_00002.ppm,39
00004\00282_00001.ppm,4
00042\00113_00002.ppm,42
00032\02589_00000.ppm,32
00020\01865_00002.ppm,20
00000\01799_00000.ppm,0
00017\02084_00002.ppm,17
00017\02455_00001.ppm,17
00035\02343_00001.ppm,35
00045\00255_00001.ppm,45
00006\02039_00002.ppm,6
00017\00361_00000.ppm,17
00007\02082_00001.ppm,7
00019\02593_00000.ppm,19
00030\01293_00002.ppm,30
00041\00084_00002.ppm,41
00061\01276_00002.ppm,61
00038\01502_00002.ppm,38
00000\00021_00000.ppm,0
00061\00032_00001.ppm,61
00053\01793_00001.ppm,53
00019\00096_00000.ppm,19
00037\00557_00000.ppm,37
00039\01867_00000.ppm,39
00021\00684_00001.ppm,21
00001\00965_00000.ppm,1
00028\00407_00001.ppm,28
00032\00061_00002.ppm,32
00022\00115_00001.ppm,22
00059\01581_00001.ppm,59
00043\00111_00001.ppm,43
00038\02358_00001.ppm,38
00057\01234_00001.ppm,57
00056\00256_00002.ppm,56
00061\00068_00000.ppm,61
00049\00258_00002.ppm,49
00045\00129_00000.ppm,45
00001\01662_00000.ppm,1
00053\00949_00000.ppm,53
00022\01065_00002.ppm,22
00039\02617_00002.ppm,39
00032\02291_00002.ppm,32
00032\00928_00000.ppm,32
00055\00273_00001.ppm,55
